milestone,system_id,method_family,text_input,image_input,fusion_type,query_set,recall@1,recall@2,recall@3,recall@5,recall@10,mrr@10,dup_recall@1,dup_recall@2,dup_recall@3,dup_recall@5,dup_recall@10,dup_mrr@10,num_queries,script_used,result_file_used,thesis_interpretation
M5.5,H1_router,hybrid text,Caption+Context,None,None,Q2,0.724642,0.899363,0,0.972384,0.987785,0.835579,0.784387,0,0,0,0,0.871038,0,Derived,master_results.csv,
M5.5,H1_router,hybrid text,Caption+Context,None,None,Q3,0.518916,0.693394,0,0.830604,0.898927,0.654153,0.560418,0,0,0,0,0.67747,0,Derived,master_results.csv,
M5.5,H1_oracle,hybrid text,Caption+Context,None,None,Q1,0.792618,0.953266,0,0.997079,1.0,0.886332,0.854753,0,0,0,0,0.920161,0,Derived,master_results.csv,
M5.5,H1_oracle,hybrid text,Caption+Context,None,None,Q2,0.756506,0.924588,0,0.988051,0.996283,0.860315,0.816782,0,0,0,0,0.89492,0,Derived,master_results.csv,
M5.5,H1_oracle,hybrid text,Caption+Context,None,None,Q3,0.533032,0.714003,0,0.862225,0.937324,0.675602,0.574816,0,0,0,0,0.699055,0,Derived,master_results.csv,
M5.5,union_top20_rerank,hybrid text,Caption+Context,None,None,Q1,0.738715,0.909453,0,0.978757,0.995751,0.846528,0.800053,0,0,0,0,0.882851,0,Derived,master_results.csv,
M5.5,union_top20_rerank,hybrid text,Caption+Context,None,None,Q2,0.681094,0.865905,0,0.958842,0.987254,0.804053,0.738184,0,0,0,0,0.83854,0,Derived,master_results.csv,
M5.5,union_top20_rerank,hybrid text,Caption+Context,None,None,Q3,0.666008,0.830887,0,0.895539,0.914455,0.769845,0.714286,0,0,0,0,0.795766,0,Derived,master_results.csv,
M5.5,union_top50_rerank,hybrid text,Caption+Context,None,None,Q1,0.737122,0.908656,0,0.976367,0.993627,0.844832,0.79846,0,0,0,0,0.881337,0,Derived,master_results.csv,
M5.5,union_top50_rerank,hybrid text,Caption+Context,None,None,Q2,0.669676,0.854488,0,0.950611,0.979023,0.793444,0.725438,0,0,0,0,0.827678,0,Derived,master_results.csv,
M5.5,union_top50_rerank,hybrid text,Caption+Context,None,None,Q3,0.693958,0.869848,0,0.948334,0.97205,0.808093,0.743083,0,0,0,0,0.834248,0,Derived,master_results.csv,
M6a,OCR_only_BM25,OCR text,Caption+Context,OCR Extracted,None,Q1,0.174456,0.256506,0,0.372278,0.452204,0.258027,0.195698,0,0,0,0,0.270274,0,Derived,master_results.csv,
M6a,OCR_only_BM25,OCR text,Caption+Context,OCR Extracted,None,Q2,0.135157,0.207913,0,0.307223,0.388476,0.20965,0.152416,0,0,0,0,0.219735,0,Derived,master_results.csv,
M6a,OCR_only_BM25,OCR text,Caption+Context,OCR Extracted,None,Q3,0.116601,0.178995,0,0.267081,0.342744,0.181598,0.131282,0,0,0,0,0.190069,0,Derived,master_results.csv,
M6a,Caption_plus_OCR_BM25,OCR text,Caption,OCR Extracted,None,Q1,0.657727,0.85077,0,0.947159,0.983006,0.787009,0.712161,0,0,0,0,0.81532,0,Derived,master_results.csv,
M6a,Caption_plus_OCR_BM25,OCR text,Caption,OCR Extracted,None,Q2,0.568508,0.764206,0,0.885024,0.936803,0.707662,0.613648,0,0,0,0,0.731923,0,Derived,master_results.csv,
M6a,Caption_plus_OCR_BM25,OCR text,Caption,OCR Extracted,None,Q3,0.28402,0.403727,0,0.545172,0.631282,0.394927,0.311124,0,0,0,0,0.41087,0,Derived,master_results.csv,
M6a,Caption_Context_plus_OCR_BM25,OCR text,Caption+Context,OCR Extracted,None,Q1,0.644716,0.836166,0,0.945035,0.976899,0.77644,0.697823,0,0,0,0,0.808334,0,Derived,master_results.csv,
M6a,Caption_Context_plus_OCR_BM25,OCR text,Caption+Context,OCR Extracted,None,Q2,0.52496,0.70393,0,0.847053,0.898301,0.662297,0.566649,0,0,0,0,0.690945,0,Derived,master_results.csv,
M6a,Caption_Context_plus_OCR_BM25,OCR text,Caption+Context,OCR Extracted,None,Q3,0.619142,0.811124,0,0.925466,0.968662,0.754107,0.663749,0,0,0,0,0.777808,0,Derived,master_results.csv,
M6.5,Original_BM25,hybrid text,Caption+Context,None,None,Q1,0.666224,0.84838,0,0.950611,0.979288,0.790662,0.720393,0,0,0,0,0.823869,0,Derived,master_results.csv,
M6.5,Original_BM25,hybrid text,Caption+Context,None,None,Q2,0.549124,0.729421,0,0.863781,0.904408,0.682656,0.590813,0,0,0,0,0.712366,0,Derived,master_results.csv,
M6.5,Original_BM25,hybrid text,Caption+Context,None,None,Q3,0.630717,0.820723,0,0.933371,0.97092,0.763434,0.675042,0,0,0,0,0.787299,0,Derived,master_results.csv,
M6.5,Pure_Expanded,acronym query expansion,Caption+Context,None,None,Q1,0.601699,0.775093,0,0.898566,0.942114,0.728919,0.638874,0,0,0,0,0.753915,0,Derived,master_results.csv,
M6.5,Pure_Expanded,acronym query expansion,Caption+Context,None,None,Q2,0.490441,0.65162,0,0.793946,0.858205,0.619163,0.514339,0,0,0,0,0.639074,0,Derived,master_results.csv,
M6.5,Pure_Expanded,acronym query expansion,Caption+Context,None,None,Q3,0.595144,0.789102,0,0.916431,0.959345,0.734357,0.632693,0,0,0,0,0.755306,0,Derived,master_results.csv,
M6.5,Fusion_0.10,hybrid text,Caption+Context,None,Score Fusion,Q1,0.666755,0.848911,0,0.951142,0.979023,0.7911,0.721455,0,0,0,0,0.824447,0,Derived,master_results.csv,
M6.5,Fusion_0.10,hybrid text,Caption+Context,None,Score Fusion,Q2,0.552045,0.728625,0,0.864843,0.903611,0.684206,0.592406,0,0,0,0,0.713079,0,Derived,master_results.csv,
M6.5,Fusion_0.10,hybrid text,Caption+Context,None,Score Fusion,Q3,0.631846,0.821287,0,0.933653,0.970356,0.764163,0.676172,0,0,0,0,0.787998,0,Derived,master_results.csv,
M7,rrf_bm25_bge_k10,hybrid text,Caption+Context,None,None,Q1,0.797132,0.959904,0,0.998141,1.0,0.890166,0.860064,0,0,0,0,0.92361,3766,Derived,master_results.csv,
M7,rrf_bm25_bge_k10,hybrid text,Caption+Context,None,None,Q2,0.737918,0.910515,0,0.982475,0.995486,0.847113,0.800053,0,0,0,0,0.882959,3766,Derived,master_results.csv,
M7,rrf_bm25_bge_k10,hybrid text,Caption+Context,None,None,Q3,0.640881,0.832298,0,0.939582,0.974591,0.772374,0.686335,0,0,0,0,0.797288,3542,Derived,master_results.csv,
M7,rrf_bm25_bge_k30,hybrid text,Caption+Context,None,None,Q1,0.797132,0.959904,0,0.998141,1.0,0.890166,0.860064,0,0,0,0,0.92361,3766,Derived,master_results.csv,
M7,rrf_bm25_bge_k30,hybrid text,Caption+Context,None,None,Q2,0.736591,0.907063,0,0.975571,0.991503,0.843936,0.79846,0,0,0,0,0.879703,3766,Derived,master_results.csv,
M7,rrf_bm25_bge_k30,hybrid text,Caption+Context,None,None,Q3,0.638058,0.829757,0,0.931677,0.971203,0.768792,0.683794,0,0,0,0,0.793587,3542,Derived,master_results.csv,
M7,rrf_bm25_bge_k60,hybrid text,Caption+Context,None,None,Q1,0.797132,0.959904,0,0.998141,1.0,0.890166,0.860064,0,0,0,0,0.92361,3766,Derived,master_results.csv,
M7,rrf_bm25_bge_k60,hybrid text,Caption+Context,None,None,Q2,0.736059,0.906267,0,0.971853,0.987785,0.842534,0.797663,0,0,0,0,0.878193,3766,Derived,master_results.csv,
M7,rrf_bm25_bge_k60,hybrid text,Caption+Context,None,None,Q3,0.637775,0.828063,0,0.929418,0.968097,0.767597,0.683512,0,0,0,0,0.792482,3542,Derived,master_results.csv,
M7,rrf_bm25_bge_heavy_bm25,hybrid text,Caption+Context,None,None,Q1,0.796601,0.961763,0,0.998141,1.0,0.890233,0.859798,0,0,0,0,0.923907,3766,Derived,master_results.csv,
M7,rrf_bm25_bge_heavy_bm25,hybrid text,Caption+Context,None,None,Q2,0.751992,0.92034,0,0.984865,0.996017,0.85648,0.81333,0,0,0,0,0.891356,3766,Derived,master_results.csv,
M7,rrf_bm25_bge_heavy_bm25,hybrid text,Caption+Context,None,None,Q3,0.640599,0.826934,0,0.935065,0.972897,0.770563,0.684924,0,0,0,0,0.794833,3542,Derived,master_results.csv,
M7,rrf_bm25_bge_balanced,hybrid text,Caption+Context,None,None,Q1,0.797132,0.959904,0,0.998141,1.0,0.890166,0.860064,0,0,0,0,0.92361,3766,Derived,master_results.csv,
M7,rrf_bm25_bge_balanced,hybrid text,Caption+Context,None,None,Q2,0.736059,0.906267,0,0.971853,0.987785,0.842534,0.797663,0,0,0,0,0.878193,3766,Derived,master_results.csv,
M7,rrf_bm25_bge_balanced,hybrid text,Caption+Context,None,None,Q3,0.637775,0.828063,0,0.929418,0.968097,0.767597,0.683512,0,0,0,0,0.792482,3542,Derived,master_results.csv,
M7,rrf_bm25_bge_heavy_dense,hybrid text,Caption+Context,None,None,Q1,0.79368,0.958842,0,0.998141,1.0,0.888219,0.855019,0,0,0,0,0.920898,3766,Derived,master_results.csv,
M7,rrf_bm25_bge_heavy_dense,hybrid text,Caption+Context,None,None,Q2,0.69384,0.877589,0,0.955921,0.975305,0.811014,0.74854,0,0,0,0,0.84441,3766,Derived,master_results.csv,
M7,rrf_bm25_bge_heavy_dense,hybrid text,Caption+Context,None,None,Q3,0.630435,0.814794,0,0.922078,0.955957,0.758178,0.677019,0,0,0,0,0.783431,3542,Derived,master_results.csv,
M7,score_fusion_bm25_075_bge_025,hybrid text,Caption+Context,None,Score Fusion,Q1,0.800319,0.96256,0,0.998141,1.0,0.892246,0.86325,0,0,0,0,0.925921,3766,Derived,master_results.csv,
M7,score_fusion_bm25_075_bge_025,hybrid text,Caption+Context,None,Score Fusion,Q2,0.765003,0.937069,0,0.991237,0.997079,0.867664,0.826606,0,0,0,0,0.900789,3766,Derived,master_results.csv,
M7,score_fusion_bm25_075_bge_025,hybrid text,Caption+Context,None,Score Fusion,Q3,0.649068,0.841333,0,0.942688,0.974026,0.778939,0.695088,0,0,0,0,0.803327,3542,Derived,master_results.csv,
M7,score_fusion_bm25_050_bge_050,hybrid text,Caption+Context,None,Score Fusion,Q1,0.799788,0.962029,0,0.998141,1.0,0.89187,0.862454,0,0,0,0,0.925412,3766,Derived,master_results.csv,
M7,score_fusion_bm25_050_bge_050,hybrid text,Caption+Context,None,Score Fusion,Q2,0.754912,0.927509,0,0.98752,0.995751,0.860006,0.815985,0,0,0,0,0.893948,3766,Derived,master_results.csv,
M7,score_fusion_bm25_050_bge_050,hybrid text,Caption+Context,None,Score Fusion,Q3,0.651327,0.840768,0,0.941276,0.974026,0.779745,0.698758,0,0,0,0,0.804955,3542,Derived,master_results.csv,
M7,score_fusion_bm25_025_bge_075,hybrid text,Caption+Context,None,Score Fusion,Q1,0.799257,0.961498,0,0.998141,1.0,0.891516,0.862188,0,0,0,0,0.925235,3766,Derived,master_results.csv,
M7,score_fusion_bm25_025_bge_075,hybrid text,Caption+Context,None,Score Fusion,Q2,0.719331,0.893521,0,0.961232,0.977164,0.828243,0.777217,0,0,0,0,0.861556,3766,Derived,master_results.csv,
M7,score_fusion_bm25_025_bge_075,hybrid text,Caption+Context,None,Score Fusion,Q3,0.640599,0.822981,0,0.922925,0.959627,0.765386,0.688029,0,0,0,0,0.790728,3542,Derived,master_results.csv,
M7,hybrid_plus_acronym_005,hybrid text,Caption+Context,None,Score Fusion,Q1,0.798725,0.961498,0,0.998141,1.0,0.891229,0.861657,0,0,0,0,0.924991,3766,Derived,master_results.csv,
M7,hybrid_plus_acronym_005,hybrid text,Caption+Context,None,Score Fusion,Q2,0.747212,0.922199,0,0.987254,0.995486,0.854866,0.807754,0,0,0,0,0.889221,3766,Derived,master_results.csv,
M7,hybrid_plus_acronym_005,hybrid text,Caption+Context,None,Score Fusion,Q3,0.651609,0.841333,0,0.941276,0.974026,0.780097,0.69904,0,0,0,0,0.805304,3542,Derived,master_results.csv,
M7,hybrid_plus_acronym_010,hybrid text,Caption+Context,None,Score Fusion,Q1,0.797132,0.958311,0,0.997876,1.0,0.889834,0.860064,0,0,0,0,0.923942,3766,Derived,master_results.csv,
M7,hybrid_plus_acronym_010,hybrid text,Caption+Context,None,Score Fusion,Q2,0.740042,0.916091,0,0.984334,0.996017,0.849414,0.801646,0,0,0,0,0.884865,3766,Derived,master_results.csv,
M7,hybrid_plus_acronym_010,hybrid text,Caption+Context,None,Score Fusion,Q3,0.651892,0.841897,0,0.942405,0.974026,0.780382,0.699322,0,0,0,0,0.805596,3542,Derived,master_results.csv,
M2,B1_caption_only,lexical text,Caption,None,None,Q1,0.796601,0.962029,0,0.998141,1.0,0.890277,0.859798,0,0,0,0,0.924128,3766,Derived,m2_bm25_results.json,
M2,B1_caption_only,lexical text,Caption,None,None,Q2,0.756771,0.929102,0,0.986989,0.99522,0.860859,0.814126,0,0,0,0,0.892926,3766,Derived,m2_bm25_results.json,
M2,B1_caption_only,lexical text,Caption,None,None,Q3,0.300113,0.41502,0,0.521739,0.592885,0.39651,0.323264,0,0,0,0,0.410769,3542,Derived,m2_bm25_results.json,
M2,B2_caption_context,lexical text,Caption+Context,None,None,Q1,0.665959,0.848911,0,0.950345,0.979554,0.79066,0.720393,0,0,0,0,0.823883,3766,Derived,m2_bm25_results.json,
M2,B2_caption_context,lexical text,Caption+Context,None,None,Q2,0.552576,0.729421,0,0.861922,0.90547,0.684314,0.594796,0,0,0,0,0.714006,3766,Derived,m2_bm25_results.json,
M2,B2_caption_context,lexical text,Caption+Context,None,None,Q3,0.630435,0.819876,0,0.932806,0.970638,0.763086,0.67476,0,0,0,0,0.786971,3542,Derived,m2_bm25_results.json,
M3,D1_caption_only,dense text,Caption,None,None,Q1,0.793415,0.958311,0,0.998141,1.0,0.887998,0.854488,0,0,0,0,0.920654,3766,Derived,m3_dense_results.json,
M3,D1_caption_only,dense text,Caption,None,None,Q2,0.761551,0.925119,0,0.981944,0.991768,0.861269,0.819172,0,0,0,0,0.89259,3766,Derived,m3_dense_results.json,
M3,D1_caption_only,dense text,Caption,None,None,Q3,0.362789,0.481649,0,0.599661,0.658103,0.463127,0.392151,0,0,0,0,0.480547,3542,Derived,m3_dense_results.json,
M3,D2_caption_context,dense text,Caption+Context,None,None,Q1,0.720393,0.905204,0,0.974774,0.98991,0.835367,0.779341,0,0,0,0,0.869985,3766,Derived,m3_dense_results.json,
M3,D2_caption_context,dense text,Caption+Context,None,None,Q2,0.661445,0.846522,0,0.933086,0.958577,0.782247,0.712958,0,0,0,0,0.813694,3766,Derived,m3_dense_results.json,
M3,D2_caption_context,dense text,Caption+Context,None,None,Q3,0.614342,0.793619,0,0.910785,0.94664,0.742345,0.659232,0,0,0,0,0.766608,3542,Derived,m3_dense_results.json,
M4,L1_caption_only,dense text,Caption,None,None,Q1,0.791025,0.956452,0,0.99761,1.0,0.886319,0.85316,0,0,0,0,0.919608,3766,Derived,m4_dense_large_results.json,
M4,L1_caption_only,dense text,Caption,None,None,Q2,0.744557,0.922199,0,0.980616,0.98752,0.851398,0.799522,0,0,0,0,0.881769,3766,Derived,m4_dense_large_results.json,
M4,L1_caption_only,dense text,Caption,None,None,Q3,0.348955,0.474026,0,0.586957,0.653868,0.452034,0.377753,0,0,0,0,0.469492,3542,Derived,m4_dense_large_results.json,
M4,L2_caption_context,dense text,Caption+Context,None,None,Q1,0.689591,0.883696,0,0.968933,0.988317,0.814053,0.746415,0,0,0,0,0.847386,3766,Derived,m4_dense_large_results.json,
M4,L2_caption_context,dense text,Caption+Context,None,None,Q2,0.631439,0.816516,0,0.919809,0.956984,0.758147,0.68136,0,0,0,0,0.78851,3766,Derived,m4_dense_large_results.json,
M4,L2_caption_context,dense text,Caption+Context,None,None,Q3,0.578204,0.762564,0,0.882552,0.929983,0.711536,0.623941,0,0,0,0,0.736871,3542,Derived,m4_dense_large_results.json,
M5,CLIP_Visual,global visual,Query Only,Raw Image,None,Q1,0.046203,0.072756,0,0.109665,0.142592,0.073865,0.0547,0,0,0,0,0.078682,3766,Derived,m5_clip_results.json,
M5,CLIP_Visual,global visual,Query Only,Raw Image,None,Q2,0.031067,0.051779,0,0.084971,0.110196,0.053721,0.035316,0,0,0,0,0.056342,3766,Derived,m5_clip_results.json,
M5,CLIP_Visual,global visual,Query Only,Raw Image,None,Q3,0.031056,0.050536,0,0.084133,0.117165,0.054364,0.037549,0,0,0,0,0.058347,3542,Derived,m5_clip_results.json,
M55,B1,hybrid text,Caption+Context,None,None,Q1,0.796601,0.962029,0,0.998141,1.0,0.890277,0.859798,0,0,0,0,0.924128,3766,Derived,m55_text_fusion_rerank_results.json,
M55,B1,hybrid text,Caption+Context,None,None,Q2,0.756771,0.929102,0,0.986989,0.99522,0.860859,0.814126,0,0,0,0,0.892926,3766,Derived,m55_text_fusion_rerank_results.json,
M55,B1,hybrid text,Caption+Context,None,None,Q3,0.300113,0.41502,0,0.521739,0.592885,0.39651,0.323264,0,0,0,0,0.410769,3542,Derived,m55_text_fusion_rerank_results.json,
M55,B2,hybrid text,Caption+Context,None,None,Q1,0.665959,0.848911,0,0.950345,0.979554,0.79066,0.720393,0,0,0,0,0.823883,3766,Derived,m55_text_fusion_rerank_results.json,
M55,B2,hybrid text,Caption+Context,None,None,Q2,0.552576,0.729421,0,0.861922,0.90547,0.684314,0.594796,0,0,0,0,0.714006,3766,Derived,m55_text_fusion_rerank_results.json,
M55,B2,hybrid text,Caption+Context,None,None,Q3,0.630435,0.819876,0,0.932806,0.970638,0.763086,0.67476,0,0,0,0,0.786971,3542,Derived,m55_text_fusion_rerank_results.json,
M55,D1,hybrid text,Caption+Context,None,None,Q1,0.793415,0.958311,0,0.998141,1.0,0.887998,0.854488,0,0,0,0,0.920654,3766,Derived,m55_text_fusion_rerank_results.json,
M55,D1,hybrid text,Caption+Context,None,None,Q2,0.761551,0.925119,0,0.981944,0.991768,0.861269,0.819172,0,0,0,0,0.89259,3766,Derived,m55_text_fusion_rerank_results.json,
M55,D1,hybrid text,Caption+Context,None,None,Q3,0.362789,0.481649,0,0.599661,0.658103,0.463127,0.392151,0,0,0,0,0.480547,3542,Derived,m55_text_fusion_rerank_results.json,
M55,D2,hybrid text,Caption+Context,None,None,Q1,0.720393,0.905204,0,0.974774,0.98991,0.835367,0.779341,0,0,0,0,0.869985,3766,Derived,m55_text_fusion_rerank_results.json,
M55,D2,hybrid text,Caption+Context,None,None,Q2,0.661445,0.846522,0,0.933086,0.958577,0.782247,0.712958,0,0,0,0,0.813694,3766,Derived,m55_text_fusion_rerank_results.json,
M55,D2,hybrid text,Caption+Context,None,None,Q3,0.614342,0.793619,0,0.910785,0.94664,0.742345,0.659232,0,0,0,0,0.766608,3542,Derived,m55_text_fusion_rerank_results.json,
M55,H1c_k10,hybrid text,Caption+Context,None,None,Q1,0.776155,0.948221,0,0.994955,0.999734,0.876538,0.838024,0,0,0,0,0.911083,3766,Derived,m55_text_fusion_rerank_results.json,
M55,H1c_k10,hybrid text,Caption+Context,None,None,Q2,0.744822,0.925119,0,0.988317,0.997876,0.854761,0.806957,0,0,0,0,0.890408,3766,Derived,m55_text_fusion_rerank_results.json,
M55,H1c_k10,hybrid text,Caption+Context,None,None,Q3,0.509317,0.700452,0,0.856296,0.938171,0.659668,0.54856,0,0,0,0,0.682393,3542,Derived,m55_text_fusion_rerank_results.json,
M55,H1c_k30,hybrid text,Caption+Context,None,None,Q1,0.780935,0.944238,0,0.992831,0.999203,0.877745,0.842539,0,0,0,0,0.912265,3766,Derived,m55_text_fusion_rerank_results.json,
M55,H1c_k30,hybrid text,Caption+Context,None,None,Q2,0.739777,0.911312,0,0.979554,0.994158,0.847677,0.802177,0,0,0,0,0.884175,3766,Derived,m55_text_fusion_rerank_results.json,
M55,H1c_k30,hybrid text,Caption+Context,None,None,Q3,0.478826,0.645116,0,0.789949,0.883964,0.615684,0.516093,0,0,0,0,0.636813,3542,Derived,m55_text_fusion_rerank_results.json,
M55,H1c_k60,hybrid text,Caption+Context,None,None,Q1,0.779341,0.94291,0,0.992034,0.998141,0.876337,0.840945,0,0,0,0,0.910976,3766,Derived,m55_text_fusion_rerank_results.json,
M55,H1c_k60,hybrid text,Caption+Context,None,None,Q2,0.733935,0.906001,0,0.974509,0.991237,0.842289,0.79607,0,0,0,0,0.879151,3766,Derived,m55_text_fusion_rerank_results.json,
M55,H1c_k60,hybrid text,Caption+Context,None,None,Q3,0.468944,0.621965,0,0.755788,0.843309,0.595302,0.505647,0,0,0,0,0.61595,3542,Derived,m55_text_fusion_rerank_results.json,
M55,H1a,hybrid text,Caption+Context,None,None,Q1,0.797132,0.959904,0,0.998141,1.0,0.890166,0.860064,0,0,0,0,0.92361,3766,Derived,m55_text_fusion_rerank_results.json,
M55,H1a,hybrid text,Caption+Context,None,None,Q2,0.767658,0.940255,0,0.992831,0.996548,0.870096,0.826872,0,0,0,0,0.902536,3766,Derived,m55_text_fusion_rerank_results.json,
M55,H1a,hybrid text,Caption+Context,None,None,Q3,0.359966,0.48419,0,0.59825,0.673066,0.463747,0.389328,0,0,0,0,0.481571,3542,Derived,m55_text_fusion_rerank_results.json,
M55,H1b,hybrid text,Caption+Context,None,None,Q1,0.702337,0.898566,0,0.975836,0.98991,0.82518,0.761285,0,0,0,0,0.86069,3766,Derived,m55_text_fusion_rerank_results.json,
M55,H1b,hybrid text,Caption+Context,None,None,Q2,0.630643,0.830058,0,0.924057,0.953266,0.761548,0.685343,0,0,0,0,0.797465,3766,Derived,m55_text_fusion_rerank_results.json,
