query_set,comparison,num_queries,win_count,loss_count,tie_count,mean_delta_mrr,median_delta_mrr,bootstrap_ci_low,bootstrap_ci_high,significance_interpretation
Q1,M7 vs BM25,3766,31,19,3716,0.001969375110639051,0.0,0.0003761727739422908,0.0036737696937511064,positive_ci_excludes_zero
Q1,M7 vs BGE,3766,388,340,3038,0.004248539564524697,0.0,-0.0027582315454062656,0.011357209240573549,ci_overlaps_zero
Q2,M7 vs BM25,3766,252,191,3323,0.006804301646309081,0.0,0.0014028952659130571,0.011882860641158571,positive_ci_excludes_zero
Q2,M7 vs BGE,3766,514,462,2790,0.006395147898068768,0.0,-0.0016638822505458195,0.014569769512513802,ci_overlaps_zero
Q3,M7 vs BM25,3542,455,351,2736,0.016659160370340494,0.0,0.008832482433025911,0.02409842659066262,positive_ci_excludes_zero
Q3,M7 vs BGE,3542,619,295,2628,0.03740062559938336,0.0,0.029608499032023877,0.045297322156794204,positive_ci_excludes_zero
