row_id,raw_image_path_from_csv,resolved_image_path,exists,file_size_bytes,issue
57,/data/all_images/image_57.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_57.jpeg,True,29460,
58,/data/all_images/image_58.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_58.jpeg,True,41300,
59,/data/all_images/image_59.png,/DATA5/prabhakar/telecom/extracted_images/images/image_59.png,True,46526,
60,/data/all_images/image_60.png,/DATA5/prabhakar/telecom/extracted_images/images/image_60.png,True,72993,
61,/data/all_images/image_61.png,/DATA5/prabhakar/telecom/extracted_images/images/image_61.png,True,57268,
62,/data/all_images/image_62.png,/DATA5/prabhakar/telecom/extracted_images/images/image_62.png,True,22590,
63,/data/all_images/image_63.png,/DATA5/prabhakar/telecom/extracted_images/images/image_63.png,True,24200,
64,/data/all_images/image_64.png,/DATA5/prabhakar/telecom/extracted_images/images/image_64.png,True,20501,
65,/data/all_images/image_65.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_65.jpeg,True,107821,
66,/data/all_images/image_66.png,/DATA5/prabhakar/telecom/extracted_images/images/image_66.png,True,21220,
67,/data/all_images/image_67.png,/DATA5/prabhakar/telecom/extracted_images/images/image_67.png,True,24784,
68,/data/all_images/image_68.png,/DATA5/prabhakar/telecom/extracted_images/images/image_68.png,True,36612,
69,/data/all_images/image_69.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_69.jpeg,True,24831,
70,/data/all_images/image_70.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_70.jpeg,True,25516,
71,/data/all_images/image_71.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_71.jpeg,True,75509,
72,/data/all_images/image_72.png,/DATA5/prabhakar/telecom/extracted_images/images/image_72.png,True,67377,
73,/data/all_images/image_73.png,/DATA5/prabhakar/telecom/extracted_images/images/image_73.png,True,94648,
74,/data/all_images/image_74.png,/DATA5/prabhakar/telecom/extracted_images/images/image_74.png,True,22691,
75,/data/all_images/image_75.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_75.jpeg,True,50042,
76,/data/all_images/image_76.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_76.jpeg,True,40211,
77,/data/all_images/image_77.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_77.jpeg,True,45440,
78,/data/all_images/image_78.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_78.jpeg,True,24630,
79,/data/all_images/image_79.png,/DATA5/prabhakar/telecom/extracted_images/images/image_79.png,True,45822,
80,/data/all_images/image_80.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_80.jpeg,True,42367,
81,/data/all_images/image_81.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_81.jpeg,True,100079,
82,/data/all_images/image_82.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_82.jpeg,True,286286,
83,/data/all_images/image_83.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_83.jpeg,True,73799,
84,/data/all_images/image_84.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_84.jpeg,True,50227,
85,/data/all_images/image_85.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_85.jpeg,True,25719,
