epoch,train_loss,val_recall@1,val_recall@5,val_recall@10,val_mrr@10,val_dup_recall@10,val_dup_mrr@10,learning_rate,checkpoint_saved
1,3.065550903479258,0.12894736842105264,0.3105263157894737,0.41842105263157897,0.21143379281537192,0.41842105263157897,0.21143379281537192,0.001,True
2,2.0026627527106378,0.2,0.4105263157894737,0.5263157894736842,0.294438178780284,0.5263157894736842,0.294438178780284,0.001,True
3,1.3547413434301103,0.2236842105263158,0.45,0.5763157894736842,0.32177527151211366,0.5763157894736842,0.32177527151211366,0.001,True
4,0.9060265029991224,0.23684210526315788,0.4842105263157895,0.5789473684210527,0.33871762740183786,0.5789473684210527,0.33871762740183786,0.001,True
5,0.5604039352564585,0.26052631578947366,0.49736842105263157,0.5868421052631579,0.3596209273182956,0.5868421052631579,0.3596209273182956,0.001,True
