Milestone,Experiment,QuerySet,R@1,R@2,R@5,R@10,MRR@10,dupR@1,dupMRR@10,Model,Modality,Query_Set,Recall@1,Recall@5,Recall@10
M6b,,,,,,,0.0061,,,vidore/colpali-v1.2,Vision-Document,Q1: Captions,0.0027,0.0106,0.0186
M6b,,,,,,,0.004,,,vidore/colpali-v1.2,Vision-Document,Q2: Paraphrased,0.0019,0.0072,0.0114
M6b,,,,,,,0.0091,,,vidore/colpali-v1.2,Vision-Document,Q3: Context,0.0034,0.0164,0.0294
M6.5,Original_BM25,Q1,0.666224,0.84838,0.950611,0.979288,0.790662,0.720393,0.823869,,,,,,
M6.5,Original_BM25,Q2,0.549124,0.729421,0.863781,0.904408,0.682656,0.590813,0.712366,,,,,,
M6.5,Original_BM25,Q3,0.630717,0.820723,0.933371,0.97092,0.763434,0.675042,0.787299,,,,,,
M6.5,Pure_Expanded,Q1,0.601699,0.775093,0.898566,0.942114,0.728919,0.638874,0.753915,,,,,,
M6.5,Pure_Expanded,Q2,0.490441,0.65162,0.793946,0.858205,0.619163,0.514339,0.639074,,,,,,
M6.5,Pure_Expanded,Q3,0.595144,0.789102,0.916431,0.959345,0.734357,0.632693,0.755306,,,,,,
M6.5,Fusion_0.10,Q1,0.666755,0.848911,0.951142,0.979023,0.7911,0.721455,0.824447,,,,,,
M6.5,Fusion_0.10,Q2,0.552045,0.728625,0.864843,0.903611,0.684206,0.592406,0.713079,,,,,,
M6.5,Fusion_0.10,Q3,0.631846,0.821287,0.933653,0.970356,0.764163,0.676172,0.787998,,,,,,
M7,rrf_bm25_bge_k10,Q1,0.797132,0.959904,0.998141,1.0,0.890166,0.860064,0.92361
M7,rrf_bm25_bge_k10,Q2,0.737918,0.910515,0.982475,0.995486,0.847113,0.800053,0.882959
M7,rrf_bm25_bge_k10,Q3,0.640881,0.832298,0.939582,0.974591,0.772374,0.686335,0.797288
M7,rrf_bm25_bge_k30,Q1,0.797132,0.959904,0.998141,1.0,0.890166,0.860064,0.92361
M7,rrf_bm25_bge_k30,Q2,0.736591,0.907063,0.975571,0.991503,0.843936,0.79846,0.879703
M7,rrf_bm25_bge_k30,Q3,0.638058,0.829757,0.931677,0.971203,0.768792,0.683794,0.793587
M7,rrf_bm25_bge_k60,Q1,0.797132,0.959904,0.998141,1.0,0.890166,0.860064,0.92361
M7,rrf_bm25_bge_k60,Q2,0.736059,0.906267,0.971853,0.987785,0.842534,0.797663,0.878193
M7,rrf_bm25_bge_k60,Q3,0.637775,0.828063,0.929418,0.968097,0.767597,0.683512,0.792482
M7,rrf_bm25_bge_heavy_bm25,Q1,0.796601,0.961763,0.998141,1.0,0.890233,0.859798,0.923907
M7,rrf_bm25_bge_heavy_bm25,Q2,0.751992,0.92034,0.984865,0.996017,0.85648,0.81333,0.891356
M7,rrf_bm25_bge_heavy_bm25,Q3,0.640599,0.826934,0.935065,0.972897,0.770563,0.684924,0.794833
M7,rrf_bm25_bge_balanced,Q1,0.797132,0.959904,0.998141,1.0,0.890166,0.860064,0.92361
M7,rrf_bm25_bge_balanced,Q2,0.736059,0.906267,0.971853,0.987785,0.842534,0.797663,0.878193
M7,rrf_bm25_bge_balanced,Q3,0.637775,0.828063,0.929418,0.968097,0.767597,0.683512,0.792482
M7,rrf_bm25_bge_heavy_dense,Q1,0.79368,0.958842,0.998141,1.0,0.888219,0.855019,0.920898
M7,rrf_bm25_bge_heavy_dense,Q2,0.69384,0.877589,0.955921,0.975305,0.811014,0.74854,0.84441
M7,rrf_bm25_bge_heavy_dense,Q3,0.630435,0.814794,0.922078,0.955957,0.758178,0.677019,0.783431
M7,score_fusion_bm25_075_bge_025,Q1,0.800319,0.96256,0.998141,1.0,0.892246,0.86325,0.925921
M7,score_fusion_bm25_075_bge_025,Q2,0.765003,0.937069,0.991237,0.997079,0.867664,0.826606,0.900789
M7,score_fusion_bm25_075_bge_025,Q3,0.649068,0.841333,0.942688,0.974026,0.778939,0.695088,0.803327
M7,score_fusion_bm25_050_bge_050,Q1,0.799788,0.962029,0.998141,1.0,0.89187,0.862454,0.925412
M7,score_fusion_bm25_050_bge_050,Q2,0.754912,0.927509,0.98752,0.995751,0.860006,0.815985,0.893948
M7,score_fusion_bm25_050_bge_050,Q3,0.651327,0.840768,0.941276,0.974026,0.779745,0.698758,0.804955
M7,score_fusion_bm25_025_bge_075,Q1,0.799257,0.961498,0.998141,1.0,0.891516,0.862188,0.925235
M7,score_fusion_bm25_025_bge_075,Q2,0.719331,0.893521,0.961232,0.977164,0.828243,0.777217,0.861556
M7,score_fusion_bm25_025_bge_075,Q3,0.640599,0.822981,0.922925,0.959627,0.765386,0.688029,0.790728
M7,hybrid_plus_acronym_005,Q1,0.798725,0.961498,0.998141,1.0,0.891229,0.861657,0.924991
M7,hybrid_plus_acronym_005,Q2,0.747212,0.922199,0.987254,0.995486,0.854866,0.807754,0.889221
M7,hybrid_plus_acronym_005,Q3,0.651609,0.841333,0.941276,0.974026,0.780097,0.69904,0.805304
M7,hybrid_plus_acronym_010,Q1,0.797132,0.958311,0.997876,1.0,0.889834,0.860064,0.923942
M7,hybrid_plus_acronym_010,Q2,0.740042,0.916091,0.984334,0.996017,0.849414,0.801646,0.884865
M7,hybrid_plus_acronym_010,Q3,0.651892,0.841897,0.942405,0.974026,0.780382,0.699322,0.805596
